interface,name,meaning,type,required,calculated
user,username,unique identifier,string,yes,no
user,email,unique email address,string,yes,no
user,password,hashed password,string,yes,no
user,profile picture,the user's profile picture,string,no,no
article,title,title of the article,string,yes,no
article,article_image,URL of the article image,string,yes,no
article,content,main body of the article,string,yes,no
article,date_created,timestamp of when created,date,yes,no
article,status,whether the article is published,string,yes,no
article,estimated_read_time,how long it might take to read,time,yes,yes
category,category_name,name of category,string,yes,no
category,color,the color designated,string,yes,no
category,icon,the icon designated,string,yes,no
